,RM355 ZN14 ZN-T,KIT-OFF ZN10 ZN-T,GUIDANCE ZN11 ZN-T,PRINCIPAL ZN11 ZN-T,RM260B ZN11 ZN-T,RM375 ZN14 ZN-T,RM375-02 ZN-T,RM377-01 ZN18 ZN-T,RM361 ZN20 ZN-T,RM116 ZN06 ZN-T,RM138 ZN09 ZN-T,RM260 ZN11 ZN-T,RM303 ZN14 ZN-T,RM305 ZN14 ZN-T,RM307 ZN14 ZN-T,RM309 ZN-T,RM310 ZN09 ZN-T,RM311 ZN14 ZN-T,RM313 ZN14 ZN-T,RM335 ZN18 ZN-T,RM337 ZN18 ZN-T,RM339 ZN18 ZN-T,RM343 ZN18 ZN-T,RM349 ZN20 ZN-T,RM353 ZN-T,RM373 ZN14 ZN-T,RM379 ZN18 ZN-T,RM137 ZN09 ZN-T,RM139 ZN09 ZN-T,RM201 ZN19 ZN-T,RM203 ZN19 ZN-T,RM205 ZN19 ZN-T,RM207 ZN19 ZN-T,RM211 ZN19 ZN-T,RM215 ZN-T,RM222 ZN-T,RM224 ZN-T,RM225 ZN-T,RM226 ZN-T,RM227 ZN-T,RM228 ZN-T,RM230 ZN-T,RM232 ZN-T,RM237 ZN-T,RM241 ZN-T,RM243 ZN-T,RM245 ZN-T,RM247 ZN-T,RM249 ZN-T,RM251 ZN-T,RM253 ZN-T,RM255B ZN-T,RM364A ZN02 ZN-T,RM364B ZN02 ZN-T,RM267 ZN-T,RM271 ZN-T,RM273 ZN-T,RM301 ZN20 ZN-T,RM320 ZN22 ZN-T,RM323 ZN22 ZN-T,RM325 ZN22 ZN-T,RM326 ZN22 ZN-T,RM328 ZN22 ZN-T,RM345 ZN18 ZN-T,RM347 ZN20 ZN-T,RM351 ZN18 ZN-T,RM357 ZN20 ZN-T,RM359- ZN20 ZN-T,RM365 ZN20 ZN-T,RM367 ZN20 ZN-T,RM369 ZN20 ZN-T,RM370 ZN20 ZN-T,RM377 ZN14 ZN-T,RM381 ZN18 ZN-T,Cafe UV08 ZN08 ZN-T,Cafe UV01 ZN08 ZN-T,Cafe UV14 ZN08 ZN-T,Cafe UV02 ZN08ZN-T,FieldHouse-NE ZN1 ZN-T,FieldHouse-NW ZN1 ZN-T,FieldHouse-SE ZN1 ZN-T,FieldHouse-SW ZN1 ZN-T
2018-12-30 01:30:00,65.51117,70.12924,58.1249,58.46359,66.3725,58.69891,60.33368,62.46149,62.56525,59.90726,58.0502,66.37623,64.07031,62.72095,62.79883,61.73492,63.66196,61.6311,62.72095,57.89453,60.33368,61.24188,61.73492,60.1261,57.21985,59.06219,59.55524,58.59512,56.88254,65.60126,64.38168,63.78488,55.1741,62.63022,61.48243,60.45613,59.22149,59.79948,62.71751,61.64651,59.24867,59.61951,65.36581,59.32862,60.3326,59.57745,60.19718,60.4386,61.89871,61.28013,59.83086,59.37791,64.07031,65.05637,62.24706,63.29312,61.22489,65.75699,57.06418,61.73492,63.96649,65.10825,66.12024,61.44946,60.22989,56.41544,59.50333,61.34567,58.69891,59.01031,60.61911,59.76285,58.69891,61.34567,64.79492,64.62622,64.79492,64.62622,56.71875,56.59375,62.34375,57.3125
2018-12-30 01:33:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30 01:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.69891,,,,,,,,,,,,,
2018-12-30 01:44:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30 01:45:00,65.51117,70.12924,57.62465,58.46359,66.3725,58.69891,60.22989,62.46149,62.66904,59.90726,56.31165,66.37623,64.0184,62.66904,62.77289,61.73492,63.86437,61.6311,62.66904,57.84262,60.33368,61.24188,61.68301,60.1261,57.21985,59.01031,59.55524,58.64703,56.46732,65.60126,64.38168,63.733,55.1741,62.63022,59.97136,59.62316,59.22149,59.79948,62.91838,61.64651,59.24867,59.61951,65.56871,59.32862,60.3326,59.57745,60.19718,60.4386,61.89871,61.28013,59.83086,60.71101,64.0184,64.95258,62.24706,63.29312,61.22489,65.75699,56.67493,61.83871,64.12219,65.1861,66.35379,61.34567,60.22989,56.15594,59.50333,61.29379,,58.9584,60.61911,59.71091,58.69891,61.34567,64.28879,64.09201,64.28879,64.09201,56.65625,56.53125,62.28125,57.3125
2018-12-30 01:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.69891,,,,,,,,,,,,,
2018-12-30 01:56:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30 02:00:00,65.51117,70.12924,57.62465,58.46359,66.3725,58.64703,60.33368,62.30579,62.72095,59.90726,57.94641,66.37623,63.96649,62.66904,62.79883,61.73492,63.96603,61.68301,62.72095,57.79074,60.43747,61.24188,61.78683,60.1261,57.27176,58.90652,59.55524,58.59512,56.98633,65.54935,64.27789,63.733,54.96649,62.63022,59.36135,58.99699,59.22149,59.79948,62.91838,61.64651,59.24867,59.61951,65.56871,59.32862,60.3326,59.7758,60.19718,60.4386,61.89871,61.28013,59.83086,59.76362,64.07031,65.05637,62.24706,63.29312,61.22489,65.70505,57.47931,61.83871,64.07031,65.28989,66.45755,61.50137,60.22989,56.20786,59.60712,61.34567,58.69891,58.9584,60.61911,59.81473,58.69891,61.34567,63.78271,64.09201,63.78271,64.09201,56.59375,56.46875,62.1875,57.15625
2018-12-30 02:07:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30 02:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.75082,,,,,,,,,,,,,
